from_request_id,to_request_id,requests_finalized,amount_eth_locked,shares_to_burn,max_share_rate,block_number,timestamp,tx_hash
1,96,96,11442.950050227277,10179.032805194549,1.684245575e-18,17272708,1684245575,7cdd45433bdb2953dd6cd4d4a2d37449d4f93907afdfedaf65a892f91a4ea263
97,603,507,437333.7971331544,388966.2727727853,1.684327751e-18,17279454,1684327751,e9ba59b2b3e83d93df52528d5e17c802973f5de34602dc74bcd484d5d79243ef
604,645,42,1936.6951198104168,1722.2656653839251,1.684413239e-18,17286461,1684413239,bf52777e4dd583d52104be96f7da420be977faeee97cc25a89d6c81fa919056f
646,702,57,447.0098710899704,397.465558485206,1.6844991349999999e-18,17293521,1684499135,5489a6364dc63a9b2614c7665d15827fa3b100c80dcbd5f43d71546f205fb364
703,758,56,2334.976516391267,2075.8380926188756,1.684585631e-18,17300635,1684585631,54b86d0ca8df20f49ad14c3fa2899b9b21cbe144b1df7e4e0abe19896e0d22be
759,816,58,331.9533034629033,295.08350711378677,1.684671743e-18,17307714,1684671743,c52f66f46a1ed5524a1dc0a3e470015c6f8a711fc46b4b9590010db62b85eba7
817,867,51,377.8313411286702,335.8157831380242,1.684758299e-18,17314816,1684758299,5b0bf1986edc261458a7d2c5bbf8369e383528d3472c8ca976bf1d526265505e
868,907,40,1390.4171780968181,1235.6488292915644,1.6848445909999999e-18,17321909,1684844591,6908d7d4832542bb4ce03790d7ced1d1c3ff1391fd531a6b5b10a4aea9b5b486
908,964,57,2784.624125099989,2474.300559436474,1.6849308589999999e-18,17329007,1684930859,8ad123ad3116fd8b6f29a3033e867ee67b9e6c2afacd5b96a29b89e2849fc17b
965,1011,47,1329.472905156932,1181.152267895808,1.685017523e-18,17336142,1685017523,74f7c86d022618dd5a986f16b32b9b55ebbfa010497392670f308a14251fd374
1012,1061,50,1722.7403164648815,1530.3382628009128,1.6851037429999999e-18,17343240,1685103743,239e1382757666216ddb1d1c6c80d6928274efd16c6fab00cac748d67fe6a239
1062,1118,57,417.24455589009904,370.59456803007265,1.6851900469999999e-18,17350349,1685190047,8c5ed5d40fc11b7e47340c7b5c022c96cf94e7e45bf94e61ab4aeedfa68d196f
1119,1155,37,500.31213118901724,444.3147545100237,1.6852765909999999e-18,17357492,1685276591,15fc62bf25f4c56249ff344c8a71194394b2d8e099d003440c30ead3fe36399c
1156,1207,52,989.0749003701424,878.2657533944648,1.685362919e-18,17364611,1685362919,ae1b49c748bf2c6cf54646af293e3545dda99339dabfe7248acc2ea460e7ae8c
1208,1260,53,2070.701772326378,1838.4676546495546,1.685449343e-18,17371713,1685449343,699bb7af9bdd806b67a1075befb7d39d55800ce5c3fb618ce20038d9c843b795
1261,1300,40,855.1595754854056,759.1559471336776,1.6855357429999999e-18,17378828,1685535743,8a1faece8ab1ffdbf71a2621c3f310768212c401246d36f0cdbef7e2edf078d7
1301,1346,46,720.7395048472896,639.7587985701276,1.685622131e-18,17385929,1685622131,abf81f89dd44731efd9f0ec67f683e7225998f90b51691d25abbb8c17e8913b2
1347,1394,48,2154.6668800214497,1912.2848758111475,1.685708543e-18,17393019,1685708543,e0c0a1c4ec587a186f0f6c1fdc243e3c23f8d026fed320dd49e1c44d9f55ed39
1395,1442,48,754.2391021355832,669.3071111700255,1.685795123e-18,17400142,1685795123,9f353dfc936e042bffa8b9b45e747050bd1fbe0a7fd55a324cb9f8244097d5d5
1443,1500,58,6276.256970438738,5568.877138941956,1.685881223e-18,17407203,1685881223,43c547e156ddc3069ae0b5757749bf901ba45c03c19746032d45a78a6274104d
